epoch,train_loss,train_ce,train_dice_loss,val_loss,val_ce,val_dice_loss,val_dice,val_miou
1,0.8191,0.2584,0.5607,0.6864,0.1519,0.5345,0.4656,0.4987
2,0.6336,0.1099,0.5237,0.5891,0.0750,0.5141,0.4860,0.4987
3,0.5663,0.0630,0.5034,0.5415,0.0548,0.4867,0.5154,0.6308
4,0.5141,0.0387,0.4755,0.4818,0.0314,0.4503,0.5563,0.6409
5,0.4595,0.0228,0.4367,0.4252,0.0192,0.4060,0.6023,0.6601
6,0.3955,0.0148,0.3807,0.3626,0.0135,0.3491,0.6670,0.6827
7,0.3301,0.0112,0.3189,0.3039,0.0092,0.2947,0.7329,0.7269
8,0.2835,0.0106,0.2729,0.2556,0.0101,0.2455,0.7678,0.7177
9,0.2447,0.0103,0.2344,0.2318,0.0095,0.2223,0.7930,0.7268
10,0.2224,0.0103,0.2121,0.2079,0.0084,0.1996,0.8153,0.7458
11,0.2054,0.0101,0.1953,0.2021,0.0098,0.1922,0.8203,0.7479
12,0.1979,0.0103,0.1876,0.1901,0.0091,0.1810,0.8310,0.7585
13,0.1876,0.0098,0.1777,0.1866,0.0094,0.1773,0.8332,0.7600
14,0.1783,0.0094,0.1690,0.1890,0.0094,0.1796,0.8287,0.7538
15,0.1749,0.0093,0.1656,0.1903,0.0117,0.1787,0.8244,0.7501
16,0.1809,0.0098,0.1710,0.1948,0.0102,0.1846,0.8190,0.7450
17,0.1781,0.0097,0.1684,0.1743,0.0091,0.1652,0.8457,0.7719
18,0.1770,0.0099,0.1671,0.1775,0.0097,0.1678,0.8401,0.7664
19,0.1682,0.0094,0.1588,0.1765,0.0092,0.1672,0.8355,0.7609
20,0.1620,0.0087,0.1533,0.1722,0.0094,0.1627,0.8463,0.7723
21,0.1620,0.0086,0.1534,0.1662,0.0090,0.1572,0.8482,0.7746
22,0.1650,0.0091,0.1560,0.1675,0.0087,0.1588,0.8562,0.7836
23,0.1598,0.0087,0.1510,0.1751,0.0099,0.1653,0.8493,0.7737
24,0.1546,0.0085,0.1461,0.1662,0.0084,0.1578,0.8553,0.7819
25,0.1511,0.0080,0.1431,0.1635,0.0089,0.1546,0.8562,0.7836
26,0.1486,0.0079,0.1407,0.1621,0.0089,0.1532,0.8546,0.7821
27,0.1467,0.0079,0.1388,0.1640,0.0093,0.1547,0.8538,0.7799
28,0.1417,0.0077,0.1339,0.1670,0.0090,0.1580,0.8509,0.7777
29,0.1421,0.0077,0.1344,0.1618,0.0084,0.1534,0.8586,0.7864
30,0.1382,0.0075,0.1308,0.1589,0.0086,0.1504,0.8621,0.7896
31,0.1367,0.0074,0.1293,0.1559,0.0080,0.1478,0.8633,0.7916
32,0.1478,0.0081,0.1397,0.1805,0.0100,0.1705,0.8395,0.7656
33,0.1464,0.0080,0.1384,0.1594,0.0088,0.1506,0.8582,0.7860
34,0.1436,0.0078,0.1358,0.1703,0.0090,0.1613,0.8463,0.7718
35,0.1417,0.0077,0.1340,0.1590,0.0085,0.1506,0.8584,0.7864
36,0.1380,0.0075,0.1305,0.1583,0.0084,0.1499,0.8597,0.7878
37,0.1398,0.0075,0.1323,0.1805,0.0091,0.1714,0.8408,0.7657
38,0.1383,0.0076,0.1307,0.1633,0.0090,0.1543,0.8566,0.7835
39,0.1319,0.0072,0.1247,0.1594,0.0090,0.1503,0.8591,0.7867
40,0.1301,0.0070,0.1231,0.1591,0.0085,0.1507,0.8628,0.7902
41,0.1348,0.0074,0.1274,0.1553,0.0092,0.1461,0.8597,0.7870
42,0.1334,0.0073,0.1261,0.1608,0.0081,0.1526,0.8600,0.7879
43,0.1286,0.0070,0.1216,0.1485,0.0077,0.1409,0.8706,0.8001
44,0.1261,0.0068,0.1193,0.1599,0.0088,0.1512,0.8540,0.7807
45,0.1245,0.0068,0.1177,0.1462,0.0080,0.1382,0.8695,0.7987
46,0.1211,0.0065,0.1146,0.1534,0.0086,0.1448,0.8680,0.7954
47,0.1206,0.0065,0.1140,0.1520,0.0085,0.1435,0.8681,0.7965
48,0.1185,0.0065,0.1121,0.1587,0.0089,0.1497,0.8617,0.7886
49,0.1211,0.0065,0.1146,0.1523,0.0088,0.1435,0.8635,0.7910
50,0.1139,0.0062,0.1078,0.1531,0.0078,0.1452,0.8620,0.7896
51,0.1149,0.0062,0.1087,0.1530,0.0082,0.1448,0.8647,0.7923
52,0.1112,0.0061,0.1052,0.1534,0.0086,0.1447,0.8642,0.7921
53,0.1102,0.0059,0.1043,0.1495,0.0080,0.1414,0.8686,0.7969
54,0.1104,0.0060,0.1045,0.1536,0.0081,0.1454,0.8639,0.7913
55,0.1080,0.0058,0.1022,0.1520,0.0082,0.1438,0.8643,0.7922
56,0.1077,0.0058,0.1019,0.1465,0.0083,0.1382,0.8676,0.7957
57,0.1051,0.0057,0.0994,0.1463,0.0081,0.1381,0.8703,0.7995
58,0.1075,0.0060,0.1015,0.1530,0.0086,0.1444,0.8630,0.7900
59,0.1059,0.0056,0.1003,0.1501,0.0079,0.1421,0.8706,0.7992
60,0.0996,0.0054,0.0942,0.1439,0.0079,0.1360,0.8765,0.8067
